Country;local_price;dollar_ex;dollar_price;dollar_ppp;dollar_valuation;dollar_adj_valuation;euro_adj_valuation;sterling_adj_valuation;yen_adj_valuation;yuan_adj_valuation
Argentina;21;5.41;3.88;4.61;-14.85;29.19;16.90;33.72;80.02;37.34
Australia;5.035;1.09;4.62;1.10;1.39;-12.94;-21.22;-9.89;21.31;-7.45
Brazil;12;2.27;5.28;2.63;15.98;71.62;55.30;77.64;139.15;82.45
Britain;2.69;0.67;4.02;0.59;-11.78;-3.39;-12.58;0.00;34.63;2.71
Canada;5.53;1.05;5.26;1.21;15.44;13.21;2.44;17.18;57.75;20.35
Chile;2000;508.16;3.94;438.92;-13.63;25.09;13.19;29.47;74.31;32.98
China;16;6.13;2.61;3.51;-42.76;-5.93;-14.88;-2.64;31.08;0.00
Colombia;8600;1921.00;4.48;1887.34;-1.75;57.44;42.47;62.96;119.39;67.37
Costa Rica;2150;498.68;4.31;471.84;-5.38;#N/A;#N/A;#N/A;#N/A;#N/A
Czech Republic;70.45;20.18;3.49;15.46;-23.40;2.75;-7.03;6.35;43.18;9.23
Denmark;28.5;5.80;4.91;6.25;7.83;-2.32;-11.61;1.11;36.12;3.85
Egypt;16.75;7.01;2.39;3.68;-47.56;-10.48;-19.00;-7.34;24.74;-4.84
Euro area;3.6238704886;0.78;4.66;0.80;2.25;10.51;0.00;14.39;54.00;17.48
Hong Kong;17;7.76;2.19;3.73;-51.90;-44.82;-50.07;-42.88;-23.11;-41.34
Hungary;860;228.46;3.76;188.73;-17.39;20.20;8.76;24.41;67.49;27.78
India;90;59.98;1.50;19.75;-67.07;-42.52;-47.99;-40.51;-19.91;-38.90
Indonesia;27939;9965.00;2.80;6131.46;-38.47;4.08;-5.82;7.73;45.04;10.65
Israel;17.5;3.65;4.80;3.84;5.34;23.31;11.58;27.63;71.83;31.09
Japan;320;100.11;3.20;70.23;-29.85;-28.24;-35.06;-25.72;0.00;-23.71
Latvia;1.69;0.55;3.09;0.37;-32.12;#N/A;#N/A;#N/A;#N/A;#N/A
Lithuania;8.6;2.69;3.20;1.89;-29.72;#N/A;#N/A;#N/A;#N/A;#N/A
Malaysia;7.3;3.18;2.30;1.60;-49.63;-22.64;-30.00;-19.93;7.80;-17.76
Mexico;37;12.94;2.86;8.12;-37.25;-3.72;-12.88;-0.34;34.17;2.36
New Zealand;5.5;1.28;4.30;1.21;-5.65;6.33;-3.78;10.06;48.17;13.04
Norway;46;6.13;7.51;10.10;64.73;13.65;2.84;17.63;58.36;20.82
Pakistan;300;100.04;3.00;65.84;-34.19;15.45;4.47;19.50;60.88;22.73
Peru;10;2.78;3.59;2.19;-21.14;28.64;16.41;33.15;79.26;36.76
Philippines;115.21;43.44;2.65;25.28;-41.80;0.26;-9.28;3.78;39.71;6.59
Poland;9.2;3.37;2.73;2.02;-40.01;-12.04;-20.40;-8.95;22.58;-6.49
Russia;87;32.94;2.64;19.09;-42.04;-14.46;-22.60;-11.46;19.19;-9.07
Saudi Arabia;10;3.75;2.67;2.19;-41.48;-22.23;-29.63;-19.51;8.37;-17.33
Singapore;4.7;1.27;3.69;1.03;-19.08;-19.77;-27.40;-16.96;11.80;-14.71
South Africa;18.33;10.05;1.82;4.02;-59.96;-36.73;-42.75;-34.51;-11.84;-32.74
South Korea;3900;1135.70;3.43;855.89;-24.64;-1.32;-10.71;2.14;37.51;4.91
Sri Lanka;370;130.80;2.83;81.20;-37.92;#N/A;#N/A;#N/A;#N/A;#N/A
Sweden;41.61;6.76;6.16;9.13;35.12;24.54;12.69;28.91;73.55;32.40
Switzerland;6.5;0.97;6.72;1.43;47.46;11.97;1.32;15.89;56.02;19.03
Taiwan;79;30.03;2.63;17.34;-42.26;-22.22;-29.62;-19.50;8.38;-17.32
Thailand;89;31.28;2.85;19.53;-37.55;2.66;-7.11;6.26;43.05;9.14
Turkey;8.5;1.96;4.34;1.87;-4.70;45.79;31.92;50.90;103.16;54.99
UAE;12;3.67;3.27;2.63;-28.30;#N/A;#N/A;#N/A;#N/A;#N/A
Ukraine;19;8.16;2.33;4.17;-48.87;#N/A;#N/A;#N/A;#N/A;#N/A
United States;4.56;1.00;4.56;1.00;0.00;0.00;-9.51;3.51;39.35;6.31
Uruguay;105;21.09;4.98;23.04;9.29;#N/A;#N/A;#N/A;#N/A;#N/A
Venezuela;45;6.29;7.15;9.88;56.95;#N/A;#N/A;#N/A;#N/A;#N/A
Austria;3.39;0.78;4.36;0.74;-4.34;-5.52;-14.50;-2.20;31.66;0.44
Belgium;3.7;0.78;4.76;0.81;4.40;5.69;-4.36;9.40;47.28;12.36
Estonia;2.75;0.78;3.54;0.60;-22.40;9.25;-1.14;13.08;52.24;16.14
Finland;4.1;0.78;5.27;0.90;15.69;15.21;4.25;19.25;60.55;22.48
France;3.9;0.78;5.01;0.86;10.05;14.56;3.66;18.58;59.64;21.79
Germany;3.64;0.78;4.68;0.80;2.71;6.82;-3.34;10.57;48.85;13.56
Greece;2.6;0.78;3.34;0.57;-26.64;-8.64;-17.33;-5.44;27.31;-2.88
Ireland;3.46;0.78;4.45;0.76;-2.37;-2.33;-11.62;1.09;36.10;3.83
Italy;3.75;0.78;4.82;0.82;5.81;18.89;7.59;23.07;65.68;26.40
Netherlands;3.45;0.78;4.44;0.76;-2.65;-4.30;-13.40;-0.94;33.36;1.74
Portugal;2.95;0.78;3.79;0.65;-16.76;9.08;-1.29;12.91;52.00;15.96
Spain;3.5;0.78;4.50;0.77;-1.24;15.95;4.92;20.02;61.57;23.26
